movie_id,title,runtime_minutes,genres,average_rating,num_votes,release_date,production_budget,domestic_gross,worldwide_gross,studio,year,roi_domestic,roi_worldwide
tt2670524,Youth,107.0,Drama,6.1,327,2015-12-04,13000000,2703296,24001573,FoxS,2015,0.20794584615384615,1.846274846153846
tt3312830,Youth,124.0,Comedy,7.3,64418,2015-12-04,13000000,2703296,24001573,FoxS,2015,0.20794584615384615,1.846274846153846
tt3312830,Youth,124.0,Drama,7.3,64418,2015-12-04,13000000,2703296,24001573,FoxS,2015,0.20794584615384615,1.846274846153846
tt3312830,Youth,124.0,Music,7.3,64418,2015-12-04,13000000,2703296,24001573,FoxS,2015,0.20794584615384615,1.846274846153846
tt5671384,Youth,124.0,Drama,7.3,11,2015-12-04,13000000,2703296,24001573,FoxS,2015,0.20794584615384615,1.846274846153846
tt6654316,Youth,135.0,Drama,7.1,2221,2015-12-04,13000000,2703296,24001573,FoxS,2015,0.20794584615384615,1.846274846153846
tt6654316,Youth,135.0,Romance,7.1,2221,2015-12-04,13000000,2703296,24001573,FoxS,2015,0.20794584615384615,1.846274846153846
tt6654316,Youth,135.0,War,7.1,2221,2015-12-04,13000000,2703296,24001573,FoxS,2015,0.20794584615384615,1.846274846153846
tt2543164,Arrival,116.0,Drama,7.9,515483,2016-11-11,47000000,100546139,203127894,Par.,2016,2.139279553191489,4.321870085106383
tt2543164,Arrival,116.0,Mystery,7.9,515483,2016-11-11,47000000,100546139,203127894,Par.,2016,2.139279553191489,4.321870085106383
tt2543164,Arrival,116.0,Sci-Fi,7.9,515483,2016-11-11,47000000,100546139,203127894,Par.,2016,2.139279553191489,4.321870085106383
tt2543472,Wonder,113.0,Drama,8.0,111632,2017-11-17,20000000,132422809,304604712,LGF,2017,6.62114045,15.2302356
tt2543472,Wonder,113.0,Family,8.0,111632,2017-11-17,20000000,132422809,304604712,LGF,2017,6.62114045,15.2302356
tt2547584,The Light Between Oceans,133.0,Drama,7.2,46247,2016-09-02,20000000,12545979,22281732,BV,2016,0.62729895,1.1140866
tt2547584,The Light Between Oceans,133.0,Romance,7.2,46247,2016-09-02,20000000,12545979,22281732,BV,2016,0.62729895,1.1140866
tt2554274,Crimson Peak,119.0,Drama,6.5,119287,2015-10-16,55000000,31090320,74966854,Uni.,2015,0.5652785454545455,1.363033709090909
tt2554274,Crimson Peak,119.0,Fantasy,6.5,119287,2015-10-16,55000000,31090320,74966854,Uni.,2015,0.5652785454545455,1.363033709090909
tt2554274,Crimson Peak,119.0,Horror,6.5,119287,2015-10-16,55000000,31090320,74966854,Uni.,2015,0.5652785454545455,1.363033709090909
tt2555736,The Second Best Exotic Marigold Hotel,122.0,Comedy,6.6,28931,2015-03-06,10000000,33078266,90384306,FoxS,2015,3.3078266,9.0384306
tt2555736,The Second Best Exotic Marigold Hotel,122.0,Drama,6.6,28931,2015-03-06,10000000,33078266,90384306,FoxS,2015,3.3078266,9.0384306
tt2561572,Get Hard,100.0,Comedy,6.0,111187,2015-03-27,40000000,90411453,106511453,WB,2015,2.260286325,2.662786325
tt2561572,Get Hard,100.0,Crime,6.0,111187,2015-03-27,40000000,90411453,106511453,WB,2015,2.260286325,2.662786325
tt2567026,Alice Through the Looking Glass,113.0,Adventure,6.2,79951,2016-05-27,170000000,77042381,276928112,BV,2016,0.45319047647058824,1.6289888941176471
tt2567026,Alice Through the Looking Glass,113.0,Family,6.2,79951,2016-05-27,170000000,77042381,276928112,BV,2016,0.45319047647058824,1.6289888941176471
tt2567026,Alice Through the Looking Glass,113.0,Fantasy,6.2,79951,2016-05-27,170000000,77042381,276928112,BV,2016,0.45319047647058824,1.6289888941176471
tt2582496,Me and Earl and the Dying Girl,105.0,Comedy,7.8,112627,2015-06-12,8000000,6758416,9266180,FoxS,2015,0.844802,1.1582725
tt2582496,Me and Earl and the Dying Girl,105.0,Drama,7.8,112627,2015-06-12,8000000,6758416,9266180,FoxS,2015,0.844802,1.1582725
tt2582496,Me and Earl and the Dying Girl,105.0,Romance,7.8,112627,2015-06-12,8000000,6758416,9266180,FoxS,2015,0.844802,1.1582725
tt2582500,Shut In,91.0,Drama,4.7,11030,2016-11-11,10000000,6900335,11360665,EC,2016,0.6900335,1.1360665
tt2582500,Shut In,91.0,Mystery,4.7,11030,2016-11-11,10000000,6900335,11360665,EC,2016,0.6900335,1.1360665
tt2582500,Shut In,91.0,Thriller,4.7,11030,2016-11-11,10000000,6900335,11360665,EC,2016,0.6900335,1.1360665
tt2582782,Hell or High Water,102.0,Action,7.6,176469,2016-08-12,12000000,27007844,37584304,LGF,2016,2.2506536666666666,3.1320253333333334
tt2582782,Hell or High Water,102.0,Crime,7.6,176469,2016-08-12,12000000,27007844,37584304,LGF,2016,2.2506536666666666,3.1320253333333334
tt2582782,Hell or High Water,102.0,Drama,7.6,176469,2016-08-12,12000000,27007844,37584304,LGF,2016,2.2506536666666666,3.1320253333333334
tt2582802,Whiplash,106.0,Drama,8.5,616916,2014-10-10,3300000,13092006,38969037,SPC,2014,3.9672745454545453,11.80879909090909
tt2582802,Whiplash,106.0,Music,8.5,616916,2014-10-10,3300000,13092006,38969037,SPC,2014,3.9672745454545453,11.80879909090909
tt2592614,Resident Evil: The Final Chapter,107.0,Action,5.6,74979,2017-01-27,40000000,26844692,314101190,SGem,2017,0.6711173,7.85252975
tt2592614,Resident Evil: The Final Chapter,107.0,Horror,5.6,74979,2017-01-27,40000000,26844692,314101190,SGem,2017,0.6711173,7.85252975
tt2592614,Resident Evil: The Final Chapter,107.0,Sci-Fi,5.6,74979,2017-01-27,40000000,26844692,314101190,SGem,2017,0.6711173,7.85252975
